fecha,id_producto,nombre_producto,cantidad,precio_unit,total_venta
2023-08-02,7756726001816,Lenteja ,1.0,6.5,6.5
2023-08-02,7702026144579,Nosotras  Desodorante INVISIBLE ,1.0,9.5,9.5
2023-08-02,1206,Pepsi 3 Litros ,1.0,11.0,11.0
2023-08-02,7770109320417,Quinua Real ,1.0,8.5,8.5
2023-08-02,7772314120011,SAL FINA ,1.0,1.5,1.5
2023-08-02,7754344000020,Sardina JUREL ,1.0,14.0,14.0
2023-08-02,1095,Te Clasico Windsor ,1.0,14.0,14.0
2023-08-02,265,Fideo La Suprema ,1.0,4.5,4.5
2023-08-02,3018,Paquete Papel Higienico ,1.0,20.0,20.0
2023-08-02,3015,Queso ,1.0,10.5,10.5
2023-08-02,119,Sardina Manu ,2.0,10.0,20.0
2023-08-02,7772314060034,Sazonador Broaster 160gr ,2.0,3.5,7.0
2023-08-02,7776507001514,sevilleta NACIONAL ,1.0,10.0,10.0
2023-08-02,358,Yogurt PIL light ,2.0,15.0,30.0
2023-08-02,20222022,MATERIAL DE ESCRITORIO ,1.0,56.5,56.5
2023-08-02,167,Avena Princesa 500gr ,1.0,9.0,9.0
2023-08-02,7772619001480,Avena sin cascara ,1.0,10.0,10.0
2023-08-02,7779970730264,Bombillos grandes ,1.0,4.5,4.5
2023-08-02,7771718070687,celinda 500 g. ,1.0,27.0,27.0
2023-08-02,7771718071783,celinda cobertura sabor chocolate ,1.0,17.5,17.5
2023-08-02,700002521041,Condimentos ,3.0,1.0,3.0
2023-08-02,7000021005,Cucharillas desechables ,1.0,5.5,5.5
2023-08-02,074343391354,Doctor thumedas ,1.0,10.0,10.0
2023-08-02,7613287867148,ECO ,1.0,18.0,18.0
2023-08-02,7759185002165,Elite ,1.0,7.5,7.5
2023-08-02,fideo,Fideo ,1.0,43.0,43.0
2023-08-02,1097,Levadura Fleischman 170g ,1.0,10.0,10.0
2023-08-02,170,Margarina Regia  900gr ,1.0,31.5,31.5
2023-08-02,7771802000385,Mix te 100 sobres ,1.0,24.0,24.0
2023-08-02,7891030300320,Mococa desde 1919 395 g. ,2.0,10.0,20.0
2023-08-02,7792260000052,Orieta Ciruela ,1.0,7.0,7.0
2023-08-02,7777014526,Pan Molido Pandore ,1.0,5.5,5.5
2023-08-02,7753121003476,panquita liquido rojo ,2.0,1.5,3.0
2023-08-02,3023,Paquete de Vasos desechables ,1.0,9.0,9.0
2023-08-02,7779970730196,Platos ,2.0,3.0,6.0
2023-08-02,7773004010384,rubys ,10.0,0.5,5.0
2023-08-02,6931149444810,T. humedas cariñosito 100 unidades ,2.0,10.0,20.0
2023-08-02,1120,Trigo Partido ,1.0,5.5,5.5
2023-08-03,3014,Aceite a granel ,1.0,48.5,48.5
2023-08-03,070330411425,Aceite ,1.0,5.5,5.5
